     step,          time,         volume,      temperature,    pressure,      kinetic,       potential,      energy,       density
            1,  0.499000E+00,  0.890788E+04,  0.310366E+03,  0.245209E+04,  0.856301E+03, -0.320637E+04, -0.235007E+04,  0.103773E+01
            2,  0.999000E+00,  0.885824E+04,  0.304039E+03,  0.344635E+04,  0.838844E+03, -0.318269E+04, -0.234385E+04,  0.104354E+01
            3,  0.149900E+01,  0.902359E+04,  0.297104E+03,  0.174335E+04,  0.819713E+03, -0.315623E+04, -0.233652E+04,  0.102442E+01
            4,  0.199900E+01,  0.896064E+04,  0.306141E+03,  0.172323E+04,  0.844644E+03, -0.317152E+04, -0.232688E+04,  0.103162E+01
            5,  0.249900E+01,  0.887197E+04,  0.303866E+03,  0.166487E+04,  0.838368E+03, -0.315651E+04, -0.231815E+04,  0.104193E+01
            6,  0.299900E+01,  0.894401E+04,  0.302290E+03, -0.538676E+03,  0.834020E+03, -0.315017E+04, -0.231615E+04,  0.103353E+01
            7,  0.349900E+01,  0.892375E+04,  0.298477E+03,  0.340279E+03,  0.823500E+03, -0.313641E+04, -0.231291E+04,  0.103588E+01
            8,  0.399900E+01,  0.888540E+04,  0.294677E+03, -0.358845E+02,  0.813017E+03, -0.311906E+04, -0.230604E+04,  0.104035E+01
            9,  0.449900E+01,  0.882485E+04,  0.298437E+03,  0.958258E+02,  0.823390E+03, -0.312546E+04, -0.230207E+04,  0.104749E+01
           10,  0.499900E+01,  0.892963E+04,  0.298069E+03, -0.823392E+03,  0.822375E+03, -0.312097E+04, -0.229860E+04,  0.103520E+01
           11,  0.549900E+01,  0.887519E+04,  0.302412E+03,  0.587689E+03,  0.834357E+03, -0.313131E+04, -0.229695E+04,  0.104155E+01
           12,  0.599900E+01,  0.885437E+04,  0.290574E+03, -0.191336E+04,  0.801694E+03, -0.308191E+04, -0.228022E+04,  0.104400E+01
           13,  0.649900E+01,  0.880322E+04,  0.296075E+03, -0.275934E+04,  0.816873E+03, -0.306551E+04, -0.224863E+04,  0.105006E+01
           14,  0.699900E+01,  0.882965E+04,  0.313291E+03, -0.134120E+04,  0.864372E+03, -0.308921E+04, -0.222484E+04,  0.104692E+01
           15,  0.749900E+01,  0.889184E+04,  0.295641E+03,  0.133265E+04,  0.815675E+03, -0.303862E+04, -0.222294E+04,  0.103960E+01
           16,  0.799900E+01,  0.895234E+04,  0.296937E+03,  0.187729E+04,  0.819250E+03, -0.304627E+04, -0.222702E+04,  0.103257E+01
           17,  0.849900E+01,  0.877213E+04,  0.287983E+03,  0.328757E+04,  0.794546E+03, -0.301941E+04, -0.222487E+04,  0.105378E+01
           18,  0.899900E+01,  0.879629E+04,  0.295444E+03,  0.225334E+04,  0.815133E+03, -0.302664E+04, -0.221151E+04,  0.105089E+01
           19,  0.949900E+01,  0.862348E+04,  0.291677E+03,  0.191062E+04,  0.804738E+03, -0.300814E+04, -0.220340E+04,  0.107195E+01
           20,  0.999900E+01,  0.865309E+04,  0.309073E+03, -0.913388E+03,  0.852733E+03, -0.305442E+04, -0.220169E+04,  0.106828E+01
           21,  0.104990E+02,  0.867647E+04,  0.304371E+03, -0.423807E+04,  0.839760E+03, -0.304453E+04, -0.220477E+04,  0.106540E+01
           22,  0.109990E+02,  0.889834E+04,  0.306289E+03, -0.523778E+04,  0.845053E+03, -0.305200E+04, -0.220695E+04,  0.103884E+01
           23,  0.114990E+02,  0.859413E+04,  0.287154E+03, -0.206205E+04,  0.792260E+03, -0.298503E+04, -0.219277E+04,  0.107561E+01
           24,  0.119990E+02,  0.883620E+04,  0.299207E+03, -0.748422E+03,  0.825513E+03, -0.299383E+04, -0.216831E+04,  0.104614E+01
           25,  0.124990E+02,  0.862264E+04,  0.298012E+03,  0.689507E+03,  0.822217E+03, -0.297218E+04, -0.214996E+04,  0.107205E+01
           26,  0.129990E+02,  0.852304E+04,  0.300602E+03,  0.661514E+03,  0.829362E+03, -0.297969E+04, -0.215033E+04,  0.108458E+01
           27,  0.134990E+02,  0.857205E+04,  0.298883E+03, -0.857518E+02,  0.824621E+03, -0.300378E+04, -0.217916E+04,  0.107838E+01
           28,  0.139990E+02,  0.853849E+04,  0.297234E+03, -0.143955E+03,  0.820071E+03, -0.302887E+04, -0.220880E+04,  0.108262E+01
           29,  0.144990E+02,  0.872789E+04,  0.278887E+03, -0.881414E+03,  0.769450E+03, -0.297746E+04, -0.220801E+04,  0.105913E+01
           30,  0.149990E+02,  0.852969E+04,  0.292308E+03,  0.168812E+04,  0.806479E+03, -0.297106E+04, -0.216458E+04,  0.108374E+01
           31,  0.154990E+02,  0.873381E+04,  0.309143E+03, -0.100655E+04,  0.852927E+03, -0.295608E+04, -0.210315E+04,  0.105841E+01
           32,  0.159990E+02,  0.866202E+04,  0.311501E+03, -0.118196E+04,  0.859433E+03, -0.293929E+04, -0.207985E+04,  0.106718E+01
